source,target,type
R-HSA-68886,R-HSA-69618,h
R-HSA-3371497,R-HSA-69618,h
R-HSA-9609646,R-HSA-69618,h
R-HSA-2132295,R-HSA-69618,h
R-HSA-446203,R-HSA-69618,h
R-HSA-5617833,R-HSA-69618,h
R-HSA-5620924,R-HSA-69618,h
R-HSA-109581,R-HSA-69618,h
R-HSA-109606,R-HSA-69618,h
R-HSA-6811442,R-HSA-69618,h
R-HSA-199977,R-HSA-69618,h
R-HSA-1640170,R-HSA-69618,h
R-HSA-69278,R-HSA-69618,h
R-HSA-8953897,R-HSA-69618,h
R-HSA-2262752,R-HSA-69618,h
R-HSA-2559583,R-HSA-69618,h
R-HSA-69306,R-HSA-69618,h
R-HSA-69002,R-HSA-69618,h
R-HSA-68867,R-HSA-69618,h
R-HSA-9675126,R-HSA-69618,h
R-HSA-9687139,R-HSA-69618,h
R-HSA-74160,R-HSA-69618,h
R-HSA-212436,R-HSA-69618,h
R-HSA-1280218,R-HSA-69618,h
R-HSA-983169,R-HSA-69618,h
R-HSA-1643685,R-HSA-69618,h
R-HSA-168256,R-HSA-69618,h
R-HSA-1280215,R-HSA-69618,h
R-HSA-453274,R-HSA-69618,h
R-HSA-453279,R-HSA-69618,h
R-HSA-388841,R-HSA-69618,h
R-HSA-163685,R-HSA-69618,h
R-HSA-70326,R-HSA-69618,h
R-HSA-195253,R-HSA-69618,h
R-HSA-3371556,R-HSA-69618,h
R-HSA-5619115,R-HSA-69618,h
R-HSA-168255,R-HSA-69618,h
R-HSA-162906,R-HSA-69618,h
R-HSA-211000,R-HSA-69618,h
R-HSA-913531,R-HSA-69618,h
R-HSA-194441,R-HSA-69618,h
R-HSA-5620912,R-HSA-69618,h
R-HSA-983231,R-HSA-69618,h
R-HSA-983189,R-HSA-69618,h
R-HSA-9711097,R-HSA-69618,h
R-HSA-156842,R-HSA-69618,h
R-HSA-72613,R-HSA-69618,h
R-HSA-72764,R-HSA-69618,h
R-HSA-9707616,R-HSA-69618,h
R-HSA-450520,R-HSA-69618,h
R-HSA-5687128,R-HSA-69618,h
R-HSA-73886,R-HSA-69618,h
R-HSA-400253,R-HSA-69618,h
R-HSA-5688426,R-HSA-69618,h
R-HSA-1234174,R-HSA-69618,h
R-HSA-168928,R-HSA-69618,h
R-HSA-73887,R-HSA-69618,h
R-HSA-73894,R-HSA-69618,h
R-HSA-6783310,R-HSA-69618,h
R-HSA-1266738,R-HSA-69618,h
R-HSA-422475,R-HSA-69618,h
R-HSA-5693532,R-HSA-1500620,h
R-HSA-5693538,R-HSA-1500620,h
R-HSA-9675135,R-HSA-1500620,h
R-HSA-9675136,R-HSA-1500620,h
R-HSA-69620,R-HSA-1500620,h
R-HSA-69481,R-HSA-1500620,h
R-HSA-73894,R-HSA-1500620,h
R-HSA-5693606,R-HSA-1500620,h
R-HSA-74160,R-HSA-1500620,h
R-HSA-212436,R-HSA-1500620,h
R-HSA-5688426,R-HSA-1500620,h
R-HSA-73886,R-HSA-1500620,h
R-HSA-73884,R-HSA-1500620,h
R-HSA-73929,R-HSA-1500620,h
R-HSA-8953897,R-HSA-1500620,h
